open,high,low,close
1.12621,1.13027,1.12555,1.13
1.13,1.13646,1.12973,1.13434
1.1343,1.13488,1.13315,1.134
1.1337,1.13455,1.13309,1.13401
1.13402,1.13468,1.13384,1.13435
1.13434,1.13762,1.13421,1.13696
1.13697,1.13901,1.13489,1.13808
1.1381,1.13861,1.13426,1.13516
1.13522,1.14226,1.13225,1.13733
1.13732,1.13892,1.13644,1.1387
1.13872,1.13957,1.13439,1.13513
1.13513,1.13913,1.13252,1.13902
1.13901,1.14015,1.13363,1.13571
1.13572,1.14039,1.13508,1.13623
1.1362,1.13621,1.12886,1.12983
1.12938,1.13006,1.12805,1.12825
1.12824,1.12978,1.12763,1.12967
1.12969,1.13409,1.12932,1.13256
