datetime	Open	High	Low	Close
2022.01.24 00:00	1.13425	1.13441	1.12891	1.13239
2022.01.25 00:00	1.13247	1.13280	1.12614	1.12994
2022.01.26 00:00	1.12994	1.13094	1.12339	1.12376
2022.01.27 00:00	1.12380	1.12419	1.11291	1.11448
2022.01.28 00:00	1.11446	1.11716	1.11194	1.11472
2022.01.31 00:00	1.11410	1.12470	1.11361	1.12339
2022.02.01 00:00	1.12335	1.12782	1.12198	1.12696
2022.02.02 00:00	1.12682	1.13312	1.12660	1.13037
2022.02.03 00:00	1.13062	1.14535	1.12672	1.14407
2022.02.04 00:00	1.14402	1.14850	1.14125	1.14492
2022.02.07 00:00	1.14662	1.14662	1.14162	1.14430
2022.02.08 00:00	1.14430	1.14498	1.13968	1.14160
2022.02.09 00:00	1.14161	1.14488	1.14033	1.14255
2022.02.10 00:00	1.14255	1.14958	1.13757	1.14289
2022.02.11 00:00	1.14289	1.14309	1.13308	1.13488
2022.02.14 00:00	1.13375	1.13687	1.12790	1.13057
2022.02.15 00:00	1.13057	1.13681	1.12960	1.13587
2022.02.16 00:00	1.13587	1.13962	1.13447	1.13726
2022.02.17 00:00	1.13729	1.13864	1.13228	1.13593
2022.02.18 00:00	1.13593	1.13770	1.13139	1.13211
2022.02.21 00:00	1.13183	1.13909	1.13060	1.13129
2022.02.22 00:00	1.13130	1.13666	1.12870	1.13242
2022.02.23 00:00	1.13320	1.13587	1.13002	1.13064
2022.02.24 00:00	1.13093	1.13093	1.11049	1.11887
2022.02.25 00:00	1.11888	1.12736	1.11649	1.12667
2022.02.28 00:00	1.11252	1.12460	1.11247	1.12178
2022.03.01 00:00	1.12184	1.12326	1.10884	1.11243
2022.03.02 00:00	1.11243	1.11423	1.10563	1.11171
2022.03.03 00:00	1.11159	1.11211	1.10324	1.10652
2022.03.04 00:00	1.10653	1.10666	1.08838	1.09232
2022.03.07 00:00	1.09214	1.09312	1.08045	1.08527
2022.03.08 00:00	1.08529	1.09575	1.08470	1.09021
2022.03.09 00:00	1.09021	1.10955	1.08890	1.10758
2022.03.10 00:00	1.10756	1.11210	1.09755	1.09823
2022.03.11 00:00	1.09814	1.10428	1.09012	1.09086
2022.03.14 00:00	1.09164	1.09935	1.08999	1.09415
2022.03.15 00:00	1.09411	1.10192	1.09254	1.09499
2022.03.16 00:00	1.09498	1.10465	1.09481	1.10310
2022.03.17 00:00	1.10307	1.11384	1.10074	1.10903
2022.03.18 00:00	1.10910	1.11187	1.10018	1.10495
2022.03.21 00:00	1.10499	1.10697	1.10095	1.10178
2022.03.22 00:00	1.10178	1.10449	1.09602	1.10292
2022.03.23 00:00	1.10293	1.10429	1.09629	1.10054
2022.03.24 00:00	1.10063	1.10133	1.09653	1.09960
2022.03.25 00:00	1.09967	1.10384	1.09798	1.09816
2022.03.28 00:00	1.09851	1.09991	1.09434	1.09792
2022.03.29 00:00	1.09792	1.11380	1.09688	1.10866
2022.03.30 00:00	1.10866	1.11717	1.10786	1.11577
2022.03.31 00:00	1.11577	1.11855	1.10600	1.10658
2022.04.01 00:00	1.10658	1.10753	1.10268	1.10402
2022.04.04 00:00	1.10311	1.10533	1.09589	1.09700
2022.04.05 00:00	1.09702	1.09873	1.08983	1.09030
2022.04.06 00:00	1.09030	1.09365	1.08722	1.08909
2022.04.07 00:00	1.08902	1.09373	1.08632	1.08760
2022.04.08 00:00	1.08755	1.08904	1.08348	1.08745
2022.04.11 00:00	1.09170	1.09323	1.08716	1.08820
2022.04.12 00:00	1.08819	1.09025	1.08199	1.08262
2022.04.13 00:00	1.08263	1.08933	1.08076	1.08808
2022.04.14 00:00	1.08796	1.09236	1.07562	1.08257
2022.04.15 00:00	1.08256	1.08281	1.07951	1.08047
2022.04.18 00:00	1.08019	1.08204	1.07686	1.07801
2022.04.19 00:00	1.07802	1.08132	1.07597	1.07850
2022.04.20 00:00	1.07851	1.08658	1.07826	1.08461
2022.04.21 00:00	1.08459	1.09352	1.08227	1.08300
2022.04.22 00:00	1.08305	1.08506	1.07697	1.07941
2022.04.25 00:00	1.08038	1.08115	1.06951	1.07084
2022.04.26 00:00	1.07085	1.07370	1.06327	1.06337
2022.04.27 00:00	1.06336	1.06530	1.05124	1.05562
2022.04.28 00:00	1.05560	1.05635	1.04700	1.04968
2022.04.29 00:00	1.04969	1.05920	1.04900	1.05419
2022.05.02 00:00	1.05420	1.05672	1.04891	1.05053
2022.05.03 00:00	1.05051	1.05766	1.04910	1.05178
2022.05.04 00:00	1.05175	1.06298	1.05051	1.06182
2022.05.05 00:00	1.06184	1.06406	1.04912	1.05377
2022.05.06 00:00	1.05377	1.05979	1.04815	1.05433
2022.05.09 00:00	1.05385	1.05916	1.04937	1.05581
2022.05.10 00:00	1.05577	1.05846	1.05244	1.05274
2022.05.11 00:00	1.05269	1.05761	1.05005	1.05114
2022.05.12 00:00	1.05118	1.05282	1.03527	1.03790
2022.05.13 00:00	1.03780	1.04188	1.03487	1.04058
2022.05.16 00:00	1.04044	1.04423	1.03867	1.04322
2022.05.17 00:00	1.04321	1.05562	1.04280	1.05527
2022.05.18 00:00	1.05509	1.05640	1.04599	1.04602
2022.05.19 00:00	1.04602	1.06074	1.04591	1.05835
2022.05.20 00:00	1.05829	1.05984	1.05321	1.05546
2022.05.23 00:00	1.05594	1.06990	1.05423	1.06921
2022.05.24 00:00	1.06910	1.07503	1.06627	1.07360
2022.05.25 00:00	1.07356	1.07406	1.06414	1.06795
2022.05.26 00:00	1.06795	1.07327	1.06634	1.07305
2022.05.27 00:00	1.07280	1.07662	1.06977	1.07325
2022.05.30 00:00	1.07344	1.07876	1.07247	1.07791
2022.05.31 00:00	1.07781	1.07787	1.06785	1.07314
2022.06.01 00:00	1.07316	1.07395	1.06266	1.06497
2022.06.02 00:00	1.06483	1.07513	1.06424	1.07489
2022.06.03 00:00	1.07476	1.07658	1.07048	1.07182
2022.06.06 00:00	1.07191	1.07522	1.06838	1.06941
2022.06.07 00:00	1.06946	1.07145	1.06516	1.07047
2022.06.08 00:00	1.07051	1.07488	1.06711	1.07153
2022.06.09 00:00	1.07152	1.07743	1.06101	1.06169
2022.06.10 00:00	1.06163	1.06418	1.05044	1.05161
2022.06.13 00:00	1.05130	1.05185	1.03985	1.04061
2022.06.14 00:00	1.04057	1.04840	1.03955	1.04147
2022.06.15 00:00	1.04135	1.05069	1.03579	1.04441
2022.06.16 00:00	1.04436	1.06022	1.03798	1.05503
2022.06.17 00:00	1.05497	1.05607	1.04436	1.04911
2022.06.20 00:00	1.04818	1.05453	1.04726	1.05090
2022.06.21 00:00	1.05082	1.05827	1.05046	1.05333
2022.06.22 00:00	1.05327	1.06066	1.04684	1.05670
2022.06.23 00:00	1.05668	1.05806	1.04820	1.05192
2022.06.24 00:00	1.05182	1.05706	1.05115	1.05540
2022.06.27 00:00	1.05486	1.06148	1.05458	1.05808
2022.06.28 00:00	1.05806	1.06061	1.05031	1.05199
2022.06.29 00:00	1.05195	1.05356	1.04350	1.04402
2022.06.30 00:00	1.04403	1.04888	1.03824	1.04818
2022.07.01 00:00	1.04815	1.04841	1.03657	1.04251
2022.07.04 00:00	1.04146	1.04627	1.04146	1.04217
2022.07.05 00:00	1.04205	1.04488	1.02351	1.02640
2022.07.06 00:00	1.02641	1.02765	1.01616	1.01839
2022.07.07 00:00	1.01829	1.02210	1.01441	1.01603
2022.07.08 00:00	1.01602	1.01914	1.00718	1.01838
2022.07.11 00:00	1.01747	1.01837	1.00336	1.00383
2022.07.12 00:00	1.00368	1.00737	0.99999	1.00361
2022.07.13 00:00	1.00359	1.01222	0.99979	1.00567
2022.07.14 00:00	1.00559	1.00581	0.99522	1.00194
2022.07.15 00:00	1.00185	1.00980	1.00070	1.00865
2022.07.18 00:00	1.00814	1.02012	1.00739	1.01432
2022.07.19 00:00	1.01424	1.02691	1.01194	1.02245
2022.07.20 00:00	1.02238	1.02730	1.01554	1.01797
2022.07.21 00:00	1.01785	1.02778	1.01528	1.02292
2022.07.22 00:00	1.02281	1.02552	1.01298	1.02138
2022.07.25 00:00	1.02109	1.02578	1.01784	1.02211
2022.07.26 00:00	1.02203	1.02502	1.01076	1.01158
2022.07.27 00:00	1.01153	1.02204	1.00965	1.01980
2022.07.28 00:00	1.01965	1.02343	1.01139	1.01950
2022.07.29 00:00	1.01941	1.02543	1.01459	1.02254
2022.08.01 00:00	1.02108	1.02753	1.02055	1.02592
2022.08.02 00:00	1.02591	1.02938	1.01633	1.01648
2022.08.03 00:00	1.01648	1.02105	1.01226	1.01681
2022.08.04 00:00	1.01674	1.02537	1.01542	1.02453
2022.08.05 00:00	1.02450	1.02520	1.01414	1.01799
2022.08.08 00:00	1.01734	1.02218	1.01592	1.01924
2022.08.09 00:00	1.01919	1.02475	1.01883	1.02114
2022.08.10 00:00	1.02115	1.03686	1.02018	1.02979
2022.08.11 00:00	1.02982	1.03644	1.02754	1.03230
2022.08.12 00:00	1.03213	1.03273	1.02380	1.02576
2022.08.15 00:00	1.02539	1.02683	1.01546	1.01582
2022.08.16 00:00	1.01581	1.01947	1.01224	1.01700
2022.08.17 00:00	1.01687	1.02028	1.01455	1.01762
2022.08.18 00:00	1.01753	1.01930	1.00795	1.00861
2022.08.19 00:00	1.00845	1.00954	1.00319	1.00399
2022.08.22 00:00	1.00338	1.00465	0.99260	0.99407
2022.08.23 00:00	0.99402	1.00181	0.99000	0.99659
2022.08.24 00:00	0.99667	0.99988	0.99100	0.99668
2022.08.25 00:00	0.99655	1.00334	0.99490	0.99726
2022.08.26 00:00	0.99725	1.00896	0.99465	0.99613
2022.08.29 00:00	0.99623	1.00291	0.99140	0.99963
2022.08.30 00:00	0.99964	1.00547	0.99819	1.00151
2022.08.31 00:00	1.00145	1.00790	0.99712	1.00530
2022.09.01 00:00	1.00522	1.00543	0.99107	0.99457
2022.09.02 00:00	0.99450	1.00335	0.99425	0.99501
2022.09.05 00:00	0.99277	0.99439	0.98778	0.99289
2022.09.06 00:00	0.99276	0.99862	0.98639	0.99048
2022.09.07 00:00	0.99046	1.00108	0.98757	1.00059
2022.09.08 00:00	1.00063	1.00294	0.99305	0.99979
2022.09.09 00:00	0.99972	1.01134	0.99949	1.00453
2022.09.12 00:00	1.00939	1.01977	1.00598	1.01210
2022.09.13 00:00	1.01211	1.01870	0.99661	0.99664
2022.09.14 00:00	0.99666	1.00236	0.99545	0.99777
2022.09.15 00:00	0.99765	1.00177	0.99557	0.99960
2022.09.16 00:00	0.99952	1.00364	0.99450	1.00137
2022.09.19 00:00	1.00076	1.00290	0.99658	1.00235
2022.09.20 00:00	1.00227	1.00506	0.99551	0.99688
2022.09.21 00:00	0.99684	0.99752	0.98130	0.98369
2022.09.22 00:00	0.98367	0.99074	0.98079	0.98333
2022.09.23 00:00	0.98336	0.98518	0.96681	0.96873
2022.09.26 00:00	0.96709	0.97094	0.95494	0.96074
2022.09.27 00:00	0.96076	0.96708	0.95691	0.95925
2022.09.28 00:00	0.95907	0.97508	0.95357	0.97352
2022.09.29 00:00	0.97339	0.98134	0.96356	0.98129
2022.09.30 00:00	0.98133	0.98537	0.97344	0.97980
2022.10.03 00:00	0.98008	0.98447	0.97528	0.98235
2022.10.04 00:00	0.98235	0.99996	0.98061	0.99867
2022.10.05 00:00	0.99858	0.99949	0.98347	0.98842
