datetime,open,high,low,close,atr14,rsi14,delta_close_open,theta,dir_class,dir_name,dir_binary,dir_mask
2025-04-08 12:00:00,1.09363,1.09685,1.09109,1.09484,0.0077249999999999,51.08819295066973,0.0012099999999999,0.0007724999999999,1,bullish,1.0,1
2025-04-08 16:00:00,1.09484,1.09558,1.08886,1.09294,0.0072592857142856,48.4567489901503,-0.0019,0.0007259285714285,-1,bearish,0.0,1
2025-04-08 20:00:00,1.09294,1.0978,1.09262,1.09553,0.0067378571428571,52.08017699052925,0.0025899999999998,0.0006737857142857,1,bullish,1.0,1
2025-04-09 00:00:00,1.09536,1.10167,1.09479,1.10148,0.0066014285714285,59.179654528699935,0.0061200000000001,0.0006601428571428,1,bullish,1.0,1
2025-04-09 04:00:00,1.10148,1.10689,1.10095,1.10684,0.0066492857142856,64.30941780176099,0.00536,0.0006649285714285,1,bullish,1.0,1
2025-04-09 08:00:00,1.10683,1.10897,1.09979,1.10274,0.0064349999999999,58.27662020279761,-0.0040899999999999,0.0006434999999999,-1,bearish,0.0,1
2025-04-09 12:00:00,1.10274,1.10951,1.10091,1.10754,0.0065642857142856,62.68945649765672,0.0047999999999999,0.0006564285714285,1,bullish,1.0,1
2025-04-09 16:00:00,1.10757,1.10818,1.10135,1.10201,0.0064642857142856,55.41746195249517,-0.00556,0.0006464285714285,-1,bearish,0.0,1
2025-04-09 20:00:00,1.10202,1.10639,1.09132,1.09518,0.0071007142857142,48.00997677028952,-0.0068399999999999,0.0007100714285714,-1,bearish,0.0,1
2025-04-10 00:00:00,1.09483,1.09865,1.09428,1.09862,0.0068257142857142,51.524518569283536,0.0037899999999999,0.0006825714285714,1,bullish,1.0,1
2025-04-10 04:00:00,1.09862,1.09891,1.09612,1.09828,0.0066635714285714,51.15642852112431,-0.00034,0.0006663571428571,0,ranging,,0
2025-04-10 08:00:00,1.09828,1.10479,1.09626,1.10374,0.0069371428571428,56.52741443383165,0.00546,0.0006937142857142,1,bullish,1.0,1
2025-04-10 12:00:00,1.10375,1.11321,1.10334,1.10975,0.0073407142857142,61.540618765613495,0.006,0.0007340714285714,1,bullish,1.0,1
2025-04-10 16:00:00,1.10977,1.12288,1.10908,1.11967,0.0078228571428571,68.08310045116477,0.0099,0.0007822857142857,1,bullish,1.0,1
2025-04-10 20:00:00,1.11968,1.12415,1.11587,1.12016,0.0080028571428571,68.36933211582192,0.00048,0.0008002857142857,0,ranging,,0
2025-04-11 00:00:00,1.11948,1.13844,1.11878,1.131,0.0089271428571428,73.93769666908607,0.0115199999999999,0.0008927142857142,1,bullish,1.0,1
2025-04-11 04:00:00,1.13099,1.13544,1.12759,1.13225,0.009117857142857,74.49527433398244,0.00126,0.0009117857142857,1,bullish,1.0,1
2025-04-11 08:00:00,1.13226,1.14735,1.12463,1.14267,0.0102492857142856,78.60447945075873,0.01041,0.0010249285714285,1,bullish,1.0,1
2025-04-11 12:00:00,1.14265,1.14265,1.13202,1.13952,0.0105857142857142,74.68697454425549,-0.0031299999999998,0.0010585714285714,-1,bearish,0.0,1
2025-04-11 16:00:00,1.13955,1.14121,1.12765,1.13055,0.0108985714285714,64.78536620464155,-0.0090000000000001,0.0010898571428571,-1,bearish,0.0,1
2025-04-11 20:00:00,1.13055,1.13577,1.12823,1.13561,0.0108228571428571,67.41010782164511,0.00506,0.0010822857142857,1,bullish,1.0,1
2025-04-14 00:00:00,1.13176,1.13707,1.13153,1.13653,0.0107307142857142,67.8788951350139,0.0047699999999999,0.0010730714285714,1,bullish,1.0,1
2025-04-14 04:00:00,1.13652,1.14089,1.13577,1.13675,0.0100199999999999,67.9974439263336,0.0002299999999999,0.0010019999999999,0,ranging,,0
2025-04-14 08:00:00,1.13675,1.14245,1.13528,1.13875,0.0102199999999999,69.1134537100683,0.002,0.0010219999999999,1,bullish,1.0,1
2025-04-14 12:00:00,1.13874,1.14078,1.13343,1.13388,0.0105457142857142,63.322806112710175,-0.00486,0.0010545714285714,-1,bearish,0.0,1
2025-04-14 16:00:00,1.13388,1.13818,1.1296,1.13307,0.0105492857142857,62.386546634855925,-0.0008099999999999,0.0010549285714285,0,ranging,,0
2025-04-14 20:00:00,1.13307,1.13698,1.13284,1.13491,0.0101399999999999,63.69954921856436,0.00184,0.0010139999999999,1,bullish,1.0,1
2025-04-15 00:00:00,1.13448,1.13609,1.1317,1.13287,0.0094678571428571,61.1508313400969,-0.0016099999999998,0.0009467857142857,-1,bearish,0.0,1
2025-04-15 04:00:00,1.13286,1.13632,1.13158,1.1357,0.0092149999999999,63.34209196663412,0.0028399999999999,0.0009214999999999,1,bullish,1.0,1
2025-04-15 08:00:00,1.13569,1.13791,1.13206,1.13467,0.0082285714285714,61.972019844972166,-0.00102,0.0008228571428571,-1,bearish,0.0,1
2025-04-15 12:00:00,1.13467,1.13561,1.13087,1.1313,0.0080064285714285,57.58342133390117,-0.00337,0.0008006428571428,-1,bearish,0.0,1
2025-04-15 16:00:00,1.13125,1.13294,1.1264,1.12742,0.0068507142857142,52.93545121330912,-0.00383,0.0006850714285714,-1,bearish,0.0,1
2025-04-15 20:00:00,1.12742,1.12897,1.12663,1.12808,0.0062571428571428,53.62122678765612,0.0006599999999998,0.0006257142857142,1,bullish,1.0,1
2025-04-16 00:00:00,1.1281,1.13217,1.12795,1.13169,0.0055899999999999,57.28723745382575,0.0035899999999999,0.0005589999999999,1,bullish,1.0,1
2025-04-16 04:00:00,1.13169,1.13478,1.13164,1.13462,0.0052757142857142,60.04757810016031,0.0029299999999998,0.0005275714285714,1,bullish,1.0,1
2025-04-16 08:00:00,1.13462,1.13921,1.13381,1.13693,0.0052657142857142,62.12573473752645,0.00231,0.0005265714285714,1,bullish,1.0,1
2025-04-16 12:00:00,1.13694,1.13777,1.13402,1.13516,0.0051678571428571,59.56891095309035,-0.0017800000000001,0.0005167857142857,-1,bearish,0.0,1
2025-04-16 16:00:00,1.13515,1.1387,1.13496,1.1375,0.0049228571428571,61.80681961888546,0.0023499999999998,0.0004922857142857,1,bullish,1.0,1
2025-04-16 20:00:00,1.13749,1.14128,1.13589,1.13981,0.0047828571428571,63.929385898548745,0.00232,0.0004782857142857,1,bullish,1.0,1
2025-04-17 00:00:00,1.1398,1.14093,1.13651,1.13677,0.0044857142857142,59.261757727891855,-0.0030299999999998,0.0004485714285714,-1,bearish,0.0,1
2025-04-17 04:00:00,1.13677,1.13819,1.13553,1.13623,0.00438,58.44545486024544,-0.0005399999999999,0.000438,-1,bearish,0.0,1
2025-04-17 08:00:00,1.13623,1.13885,1.13435,1.13785,0.0043878571428571,60.215938231295326,0.0016199999999999,0.0004387857142857,1,bullish,1.0,1
2025-04-17 12:00:00,1.13785,1.13808,1.13352,1.13564,0.0043749999999999,56.668791046502136,-0.00221,0.0004374999999999,-1,bearish,0.0,1
2025-04-17 16:00:00,1.13567,1.13857,1.13384,1.13505,0.004295,55.72502906795383,-0.00062,0.0004295,-1,bearish,0.0,1
